"Statistic Label","Census Year","Ethnicity","Citizenship","UNIT","VALUE"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Spain","Number","14"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Ukraine","Number","1"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","United Kingdom of Great Britain and Northern Ireland (the)","Number","473"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Other EU27 (2020)","Number","169"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Rest of Europe(1)","Number","6"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Africa","Number","38"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","China","Number","12025"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","India","Number","5"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Other Asia(1)","Number","2359"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Australia","Number","31"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","United States of America (the)","Number","124"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Brazil","Number","15"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Other America(1)","Number","113"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Other countries","Number","114"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Multiple/Dual citizenship","Number","15"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","No citizenship","Number","318"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Chinese","Citizenship not stated","Number","118"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","All citizenships","Number","94434"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Ireland","Number","36324"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Croatia","Number","2"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","France","Number","74"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Germany","Number","46"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Italy","Number","228"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Latvia","Number","27"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Lithuania","Number","9"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Poland","Number","18"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Romania","Number","21"
"Population Usually Resident and Present in the State","2022","Asian or Asian Irish - Indian/Pakistani/Bangladeshi","Spain","Number","53"
