"Statistic Label","Month","County","Driving Test Categories","UNIT","VALUE"
"Driving Tests Delivered","2021 January","Co. Laois","CPC Practical Test (Truck/Artic)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","All Test Categories","Number","353"
"Driving Tests Delivered","2021 January","Co. Meath","Category B (Car or light van)","Number","337"
"Driving Tests Delivered","2021 January","Co. Meath","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category A (Motorcycle All)","Number","5"
"Driving Tests Delivered","2021 January","Co. Meath","Category BE (Car with Trailer)","Number","9"
"Driving Tests Delivered","2021 January","Co. Meath","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 January","Co. Meath","Category C1E (Small truck / large van with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category C (Truck)","Number","1"
"Driving Tests Delivered","2021 January","Co. Meath","Category CE (Articulated Truck)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category D1 (Minibus)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category D1E (Minibus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category D (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category DE (Bus with trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","Category W (Tractor)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","CPC Practical Test (Bus)","Number",""
"Driving Tests Delivered","2021 January","Co. Meath","CPC Practical Test (Truck/Artic)","Number",""
"Driving Tests Delivered","2021 January","Co. Monaghan","All Test Categories","Number","82"
"Driving Tests Delivered","2021 January","Co. Monaghan","Category B (Car or light van)","Number","77"
"Driving Tests Delivered","2021 January","Co. Monaghan","Category AM (Moped / light quadricycle)","Number",""
"Driving Tests Delivered","2021 January","Co. Monaghan","Category A1 (Motorcycle - low power)","Number",""
"Driving Tests Delivered","2021 January","Co. Monaghan","Category A2 (Motorcycle - medium power)","Number",""
"Driving Tests Delivered","2021 January","Co. Monaghan","Category A (Motorcycle All)","Number",""
"Driving Tests Delivered","2021 January","Co. Monaghan","Category BE (Car with Trailer)","Number",""
"Driving Tests Delivered","2021 January","Co. Monaghan","Category C1 (Small truck / large van)","Number","1"
"Driving Tests Delivered","2021 January","Co. Monaghan","Category C1E (Small truck / large van with trailer)","Number",""
